,Down,22,22,484,22,22,484,35,21,36,117,117,13689,162.728,120.833,,0.4680851064,0.4680851064,0.2191036668,0.2222222222,0.2222222222,0.049382716,0.4794520548,0.4772727273,0.8780487805,0.717791411,0.717791411,0.5152245098,0.9691440006,0.9492658554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Down,22,22,484,22,22,484,35,21,36,117,117,13689,162.728,120.833,,0.4680851064,0.4680851064,0.2191036668,0.2222222222,0.2222222222,0.049382716,0.4794520548,0.4772727273,0.8780487805,0.717791411,0.717791411,0.5152245098,0.9691440006,0.9492658554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input 9,Front,33,33,1089,35,35,1225,46,27,35,137,137,18769,163.01,125.176,,0.7021276596,0.7021276596,0.4929832503,0.3535353535,0.3535353535,0.1249872462,0.6301369863,0.6136363636,0.8536585366,0.8404907975,0.8404907975,0.7064247808,0.9708234818,0.9833845284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Front,33,33,1089,35,35,1225,46,27,35,137,137,18769,163.01,125.176,,0.7021276596,0.7021276596,0.4929832503,0.3535353535,0.3535353535,0.1249872462,0.6301369863,0.6136363636,0.8536585366,0.8404907975,0.8404907975,0.7064247808,0.9708234818,0.9833845284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Up,37,37,1369,35,35,1225,60,36,35,130,130,16900,163.01,125.176,,0.7872340426,0.7872340426,0.6197374378,0.3535353535,0.3535353535,0.1249872462,0.8219178082,0.8181818182,0.8536585366,0.7975460123,0.7975460123,0.6360796417,0.9708234818,0.9833845284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Up,37,37,1369,35,35,1225,60,36,35,130,130,16900,163.01,125.176,,0.7872340426,0.7872340426,0.6197374378,0.3535353535,0.3535353535,0.1249872462,0.8219178082,0.8181818182,0.8536585366,0.7975460123,0.7975460123,0.6360796417,0.9708234818,0.9833845284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Down,22,22,484,24,24,576,42,25,33,121,121,14641,163.01,125.176,,0.4680851064,0.4680851064,0.2191036668,0.2424242424,0.2424242424,0.0587695133,0.5753424658,0.5681818182,0.8048780488,0.7423312883,0.7423312883,0.5510557417,0.9708234818,0.9833845284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Down,22,22,484,24,24,576,42,25,33,121,121,14641,163.01,125.176,,0.4680851064,0.4680851064,0.2191036668,0.2424242424,0.2424242424,0.0587695133,0.5753424658,0.5681818182,0.8048780488,0.7423312883,0.7423312883,0.5510557417,0.9708234818,0.9833845284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input 14,Front,28,28,784,26,26,676,61,37,30,131,131,17161,160.707,116.34,,0.5957446809,0.5957446809,0.3549117248,0.2626262626,0.2626262626,0.0689725538,0.8356164384,0.8409090909,0.7317073171,0.8036809816,0.8036809816,0.6459031202,0.9571077191,0.9139687802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Front,28,28,784,26,26,676,61,37,30,131,131,17161,160.707,116.34,,0.5957446809,0.5957446809,0.3549117248,0.2626262626,0.2626262626,0.0689725538,0.8356164384,0.8409090909,0.7317073171,0.8036809816,0.8036809816,0.6459031202,0.9571077191,0.9139687802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
